fmp,tti,eil,speed-index,longest chain duration,longest chain transfer size
1932,3074,96,2360,7402,22
5725,5725,16,3053,33925,233
3807,4393,491,3987,33971,227
4604,4628,16,4660,17017,71
5922,6055,16,4750,5830,58
4824,4836,32.5,4883,11354,20
6353,6388,53,5225,13520,22
12070,12070,16,5276,11874,63
5772,5772,7970,5318,31670,10
4989,5812,16,5550,5546,29
7531,7594,133,5850,37249,46
6157,6181,16,6229,20386,310
5460,6338,19,6369,23731,226
9022,9253,1124,6415,17870,272
5550,6262,18,6448,29041,364
7933,8154,56,6949,11324,98
6731,6849,16,7085,7986,36
12291,13081,472,7450,26652,105
8121,8138,16,7605,24652,203
5981,7708,16,7655,7220,21
7813,8422,16,8007,10651,77
6035,11977,421,8093,11849,148
3899,8299,357,8134,10598,63
7402,9478,515,8247,12594,150
7014,8050,18,8370,27079,205
5008,8389,475,8581,13101,127
8543,8576,16,8603,27323,201
8453,11080,207,8710,23930,299
10530,10568,18,8799,10260,27
8527,8879,85,8908,0,0
5795,9362,16,8912,12177,35
8654,8811,592,8947,28716,36
8467,11118,16,9392,16899,83
10027,10691,16,9784,17540,272
5377,12682,24,10017,14410,120
7907,10376,20,10412,10306,43
6828,9811,16,10621,27957,645
7584,19677,88,10936,19902,110
10125,11216,72,11044,20603,21
7703,12986,16,11104,14172,120
12315,12823,59,11408,27744,141
8028,13713,108,11970,9346,124
12099,14981,38,12008,28970,161
12341,12389,16,12019,25335,74
11403,12015,74,12046,0,0
12175,16860,246,12049,16357,14
11865,11926,16,12227,18187,77
21500,21550,35,12288,21105,56
11224,13950,36,12341,19524,88
5159,13407,16,12480,33314,125
21487,22537,1857,12695,21507,40
10736,13499,414,12700,9085,124
9698,12728,16,12759,12944,50
12335,12497,124,13384,18851,99
5947,20172,16,14324,14053,60
6475,14644,24.5,14677,27737,253
12832,16201,106,14769,28435,214
12637,14678,16,15032,9695,239
2520,18207,441,15039,18345,13
6692,20330,23,15165,20283,35
10662,17568,34,15255,19350,186
11119,22185,22,15287,22289,45
13808,17258,225,15322,30810,136
15094,15785,76,15469,22175,57
16801,18212,69,16070,30548,541
15659,16202,21,16119,19778,200
16234,16342,50,16734,22487,99
16358,17787,138,16993,12763,203
7841,18604,16,17054,25851,49
16449,18044,16,17311,18966,64
7673,9396,42,18327,34509,271
21223,21251,16,18433,32301,135
17121,20801,36,18548,26132,136
8548,9023,40,18578,27265,135
19332,19332,16,18652,20749,106
19428,19466,16,19495,16503,191
17832,18901,33,19838,19656,330
22828,22882,16,20431,22680,72
20658,21077,1263,21072,20600,95
24044,24098,16,21782,24702,87
22344,22379,402,22171,22921,190
22774,22814,252,22178,26514,153
21679,23992,96,22609,23901,59
24402,24418,834,22880,10790,33
23849,23864,16,22973,24428,331
3372,3616,603,117763,12344,247
11515,11531,16,NaN,16454,257
5075,5088,16,NaN,24559,362
4932,4947,16,NaN,10695,9
20310,20327,37,NaN,24455,181
6541,20459,17,NaN,23132,226
9876,9892,16,NaN,9791,15
2780,2796,16,NaN,2319,27
5283,5301,16,NaN,5220,22
8087,8104,20,NaN,24612,301
1700,1702,1341,NaN,24800,330
7496,7507,16,NaN,15573,165
13431,23052,167,NaN,22981,295
10690,10707,16,NaN,16085,9
3099,3109,16,NaN,33838,288
8606,8624,16,NaN,8508,0
11931,11959,16,NaN,11858,6
23430,23571,23607,,25211,124
