fmp,tti,eil,perceptual-speed-index,longest chain duration,longest chain transfer size,
5653,7261,148,1102,4374,179,
2129,3696,234,3218,4696,120,
3525,4131,28,2976,7561,98, 
3406,3834,59,3703,5232,99,
8808,9079,2241,1404,9741,10,
6540,6540,21,2295,6523,227,
10196,10774,58,10266,10940,540,
7214,8432,2190,1342,10136,253,
19191,19906,1291,19579,19753,1301,
18363,18708,79,16757,29969,1020,
2062,2294,16,2280,2638,58,
10618,12671,957,11117,22323,1121,
4756,4991,16,4820,5456,362,
3049,3351,16,2920,6149,186,
5328,6123,228,5245,6114,257,
8592,8891,16,8921,8745,190,
2927,10326,16,7106,10212,110,
7673,12854,22,10332,13194,411,
3287,5338,16,4553,3132,49,
23285,23977,1655,23676,25170,1467,
3923,4575,16,4367,5274,247,
5095,5229,16,5343,7556,95,
3158,6293,112,5198,9839,124,
4297,5053,16,4558,5967,239,
15417,16069,16,15909,15815,695,
11595,14794,63,12898,26942,304,
7569,9762,18,9640,11636,215,
5282,6323,55,5990,5475,203,
3558,3620,647,1438,20196,427,
3580,5654,60,3711,9610,299,
14754,15792,34,15514,34213,1120,
4994,21916,989,15337,24939,269,
4972,5211,76,5212,9428,21,
3121,4245,392,3517,4476,45,
5765,6139,161,6674,23719,136,
9179,10231,291,6938,9199,383,
4412,4933,21,4952,4818,21,
13382,14041,279,11377,25294,40,
8373,8536,39,3192,12072,105,
3316,6572,1065,6846,23339,653,
12437,14146,21,14155,13771,238,
10830,10878,1886,5170,11200,954,
4555,4612,16,4646,4829,331,
15323,5601,2661,5621,2037,13,
21645,23812,16,23837,21616,2232,
4892,4892,16,2886,3697,0,
4096,21291,30,14671,6058,135,
9139,9903,16,9720,9056,555,
9806,10572,179,10894,21606,724,
3598,4582,208,4802,4877,106,
13235,21938,49,17231,31674,301,
7594,9224,20,8842,13942,186,
5902,9482,20,6382,8163,440,
3079,4913,16,4170,5863,374,
9576,14974,323,9492,14544,125,
5034,7668,35,5094,10387,161,
3249,3567,16,3284,3453,77,
3843,7074,16,5470,10172,59,
19517,19517,1024,19963,21412,483,
9234,9351,9384,5376,2540,191,
5430,6120,1478,860,4742,330,
7008,7630,35,NaN,8785,29,
2700,4237,22,3165,4495,43,
3568,11540,35,9519,5605,83,
11157,11997,140,10564,18285,771,
7324,8205,61,6824,8975,233,
2871,3158,16,2873,4194,272,
20544,21944,807,2348,13600,36,
2847,3924,153,3528,9009,214,
6083,6131,16,7100,8154,153,
3010,3027,16,2433,3810,271,
9494,9905,16,9810,6200,719,
4533,5546,507,4156,18965,129,
2152,2214,16,2005,2881,144,
5084,5125,21,3559,5758,311,
7520,8591,57,8013,9280,288,
5503,6108,16,5944,4717,438,
2578,4827,16,4343,4756,28,
2078,2548,16,2455,3014,206,
13081,13453,27,7115,14221,33,
5587,6166,187,5986,5930,84,
3307,4182,61,4237,5751,369,
8647,9150,16,9224,10147,368,
4724,5570,125,5608,12237,545,
13084,13676,16,12207,12979,324,
10283,10410,32.8,10050,9787,641,
10270,11374,18,11363,13442,299,
7771,9585,114,8815,23121,1581,
6685,8650,16,8357,8580,287,
5234,7294,25,5336,7193,141,
15593,15606,118,14874,15371,282,
5234,5643,16,5686,5797,68,
7789,8369,288,7253,14872,249,
6233,14900,4063,8854,15065,174,
2685,5519,89,3910,28978,2603,
7934,8299,16,8405,8441,343,
3297,19787,896,16649,20146,105,
5030,8187,22,6808,8750,186,
6712,6802,344,6188,15188,657,
3880,4273,16,4129,4118,64,
6269,8178,612,7079,8108,148,
5956,5956,32,3392,7933,120,
5455,11364,720,5691,16078,270,
5156,8545,16,7615,8606,223,
7326,7326,53,3023,9018,217,
6374,7763,669,4416,7418,59,
2422,6666,104,2916,5637,64,
7249,9284,29,8889,9526,342,
9913,11611,20,10267,12071,89,
5489,21979,2078,5736,24708,81,
4021,9491,16,9515,11587,202,
3162,5955,80,4510,8384,62,
10692,12001,219,9962,16863,376,
4388,4623,16,4788,4499,200,
11284,13555,16,12272,13125,522,
3814,12254,1257,4894,11955,157,
2878,3014,16,3066,3340,9,
3972,8362,1551,7221,21526,616,
1489,4398,219,3700,4709,136,
2937,2942,16,1926,3713,271,
2995,3038,130,3060,2835,236,
4479,6096,20,4894,6275,84,
8545,10208,1105,5937,25920,184,
5304,15250,104,6769,11648,207,
4056,9415,22,7928,9119,216,
8029,8429,299,2891,15415,353,
6316,7241,40,5652,8897,158,
9215,15449,1968,13132,16539,425,
4609,5551,16,5359,7734,164,
13480,13901,13986,16168,18673,823,
5741,11175,91,9928,19040,485,
12709,14749,35,11349,24416,223,
8295,9342,16,8760,7967,385,
2492,5516,74,4087,10449,131,
