bundler,code-splitting,mobile,tti,fmp,speed-index
Webpack 2,FALSE,No,5826,4070,4817
Webpack 1,TRUE,Yes,3198,3188,2294
Browserify,TRUE,Yes,2199,2185,1889
Webpack 1,TRUE,Yes,2199,2185,1889
Webpack 1,FALSE,No,7671,7669,5160
Webpack 1,FALSE,No,17607,14808,16672
Webpack 1,TRUE,Yes,4352,4342,7327
Webpack 1,TRUE,No,3069,3063,1934
Webpack 1,FALSE,No,2869,1967,1938
Webpack 1,FALSE,Yes,3983,2675,3510
Webpack 2,FALSE,Yes,3716,3716,1400
Webpack 1,FALSE,No,2814,2792,2930
Webpack 2,TRUE,Yes,4693,4679,4641
Webpack 1,FALSE,No,16779,8196,15956
Webpack 1,TRUE,No,9549,9540,7234
Webpack 1,FALSE,Yes,3914,3907,2350
Webpack 1,FALSE,Yes,6396,6391,4536
Webpack 1,FALSE,No,9368,5511,5574
Webpack 1,TRUE,Yes,3408,3398,2244
Webpack 1,TRUE,No,4830,4715,3470
Webpack 1,FALSE,Yes,2163,1856,1805
Webpack 1,TRUE,No,5270,3899,4921
Webpack 2,FALSE,Yes,5793,4786,2887
Webpack 1,TRUE,No,7925,5220,3624
Webpack 1,FALSE,No,4509,4495,3957
Browserify,TRUE,No,12243,12235,2408
Sprockets,TRUE,No,4366,4331,4384
Webpack 1,FALSE,No,9437,7833,7216
Webpack 2,TRUE,Yes,5831,5806,3678
Webpack 2,TRUE,Yes,3111,3104,2886
Webpack 1,TRUE,No,2872,2038,2246
Webpack 2,TRUE,No,5656,2023,3354
Webpack 2,TRUE,No,6677,6096,6456
jspm,FALSE,Yes,5085,1149,1791
Webpack 2,FALSE,Yes,3889,1789,2521
Webpack 2,TRUE,Yes,6511,4830,5981
Webpack 1,TRUE,Yes,3472,1087,1885
Webpack 1,TRUE,No,8290,6999,7578
custom python-based bundler,FALSE,Yes,2666,2660,2263
Webpack 1,TRUE,No,5628,3456,4048
Webpack 2,TRUE,Yes,4649,4625,4871
Webpack 1,FALSE,No,1493,1460,1509
Webpack 2,TRUE,No,8860,7315,11395
Webpack 2,TRUE,No,2950,2891,2916
Browserify,TRUE,No,10787,2213,4992
Webpack 1,FALSE,Yes,7874,3914,4366
Webpack 1,FALSE,No,1512,1249,1487
Webpack 1,FALSE,Yes,1731,1725,1816
Webpack 2,TRUE,No,4178,2451,2605
Webpack 1,TRUE,Yes,3580,3130,3659
Webpack 1,FALSE,Yes,5623.2,5258.7,5022
Webpack 1,FALSE,Yes,2567,1369,1841
Webpack 1,FALSE,Yes,8327,4221,5692
SystemJS,FALSE,Yes,5960,2228,2836
Webpack 1,TRUE,Yes,2601,1055,2426
Browserify,TRUE,Yes,4723,2121,4757
Browserify,TRUE,No,8697,6533,8645
Webpack 1,FALSE,No,7592,7244,7598
Webpack 1,TRUE,No,8407,7101,8116
Webpack 1,TRUE,No,3505,3244,3304
Webpack 1,TRUE,No,10278,4446,8578
Webpack 1,TRUE,No,12327,5193,11300
Webpack 1,FALSE,Yes,11047,8597,9818
Webpack 1,FALSE,No,4155,1813,2771
Webpack 1,TRUE,No,6370,6357,6430
Webpack 2,FALSE,Yes,2425,1158,2195
jspm,FALSE,Yes,6107,1246,2097
Webpack 2,FALSE,Yes,3521,1655,2315
Webpack 1,TRUE,Yes,3216,1020,1766
Webpack 1,TRUE,No,7279,6713,7046
custom python-based bundler,FALSE,Yes,2276,2270,1886
Webpack 1,TRUE,No,5768,3552,3955
Webpack 2,TRUE,Yes,4480,4456,4629
Webpack 1,FALSE,No,1615,1603,1700
Webpack 2,TRUE,No,8272,6605,10626
Webpack 2,TRUE,No,2542,2478,2804
Browserify,TRUE,No,11899,3549,5660
Webpack 1,FALSE,Yes,8102,3791,3923
Webpack 1,FALSE,No,1811,597,1030
Webpack 1,FALSE,Yes,1698,1692,1744
Webpack 2,TRUE,No,4100,3240,2911
Webpack 1,TRUE,Yes,3106,2689,3194
Webpack 1,FALSE,Yes,2187,1574,1986
Webpack 1,FALSE,Yes,10418,4336,7611
SystemJS,FALSE,Yes,5400,1551,2127
Webpack 1,TRUE,Yes,3513,766,2028
Browserify,TRUE,Yes,4565,2213,4597
Browserify,TRUE,No,8575,5453,8503
Webpack 1,FALSE,No,8079,6819,7685
Webpack 1,TRUE,No,8587,7288,8290
Webpack 1,TRUE,No,3476,3273,3333
Webpack 1,TRUE,No,10420,4580,8857
Webpack 1,TRUE,No,4946,4925,4793
Webpack 1,FALSE,Yes,10181,8278,9196
Webpack 1,TRUE,No,6376,6364,6437
Webpack 2,FALSE,Yes,2119,1040,1923
Webpack 1,FALSE,No,9042,6436,7086
Browserify,TRUE,No,1332,1321,1338
Browserify,FALSE,No,6188,6183,5163
Webpack 1,FALSE,No,1889,1889,-1
Webpack 1,TRUE,No,6736,6196,6772
Webpack 1,TRUE,Yes,2505,2499,2288
Webpack 1,TRUE,No,15029,10512,11572
Webpack 1,FALSE,No,2528,2490,1311
Browserify,TRUE,No,15723,6336,5996
Webpack 2,FALSE,Yes,3779,2513,3519
Webpack 1,TRUE,No,1589,1580,1189
Webpack 1,TRUE,No,2136,1635,2132
Webpack 1,TRUE,Yes,10473,8996,8588
Webpack 2,FALSE,No,5891,879,897
Webpack 1,FALSE,No,2038,1222,1942
Webpack 1,TRUE,No,13908,1760,8500
Webpack 2,TRUE,No,7422,2631,4630
Webpack 1,FALSE,Yes,5056,5051,5054
Webpack 1,TRUE,Yes,3635,3628,1537
Webpack 2,FALSE,No,20358,20349,18067
Webpack 1,FALSE,Yes,5487,2788,4089
Webpack 1,FALSE,Yes,2278,2274,1587
Webpack 1,FALSE,No,1418,1413,1480
Jspm,FALSE,No,4442,4435,1631
Webpack 1,TRUE,No,4551,1305,3236
Webpack 2,FALSE,Yes,3994,3994,2073
Browserify,TRUE,No,1482,1387,1420
Webpack 1,TRUE,Yes,5371,4314,8199
Webpack 1,FALSE,No,5288,4135,4678
Webpack 1,FALSE,Yes,2235,2231,607
Webpack 1,FALSE,No,8338,6957,7982
Webpack 1,TRUE,No,8774,8769,3134
Browserify,TRUE,Yes,7638,7627,4661
Browserify,TRUE,Yes,15165,11230,15128
Webpack 1,FALSE,No,4028,3467,3848
Webpack 2,FALSE,Yes,8440,7113,8107
Webpack 2,TRUE,No,6108,4907,4175
Webpack 1,FALSE,Yes,11819,5953,8887
Webpack 1,FALSE,No,13344,2699,9449
Webpack 1,TRUE,Yes,9344,9337,7314
Webpack 2,TRUE,Yes,4542,4538,4624
Browserify,TRUE,No,6086,6069,6123
Webpack 1,TRUE,No,14386,2329,5413
Webpack 1,FALSE,No,5326,5119,5135
Webpack 1,FALSE,Yes,2849,2843,2454
Webpack 1,TRUE,Yes,5050,4415,5417
Webpack 1,TRUE,Yes,4033,4027,3282
