tti,fmp,speed-index
5826,4070,4817
2901,2887,2241
2199,2185,1889
3137,2917,2955
11469,11463,8935
16274,15588,16183
8267,982,1011
2960,2946,1847
2888,2007,2102
3983,2675,3510
3719,3719,1658
2814,2792,2930
4587,4569,4425
15616,7337,14910
7946,7931,5511
5046,3910,2777
7509,4882,4643
3586,673,691
3531,3519,2356
5027,5011,3885
2163,1856,1805
6344,4935,6005
5479,4441,3277
10454,10454,6232
5376,5361,4438
15136,15127,5071
7620,7584,7663
9840,8497,8100
5362,5335,3359
2850,2840,2724
2823,2086,2295
15211,1803,6295
6696,6134,6494
7211,1618,2542
4191,1878,2601
6044,4385,3680
3436,1166,1949
8570,7665,8157
2171,1815,2046
5735,3593,4106
4079,4052,4298
1615,1603,1700
5392,5392,1949
6362,5801,4449
11007,1376,4754
7385,3612,3873
1642,1634,1723
4401,2698,2872
3742,3321,3822
5623.2,5258.7,5022
3507,2381,2830
8278,3937,5950
7442,2633,3433
2122,994,2024
4382,1581,4401
2906,2906,-1
8959,7089,8392
7672,7180,7680
8517,7091,8072
10641,4460,9040
1074,1073,-1
12487,5432,11190
9263,8564,8845
2086,2077,2104
6197,6183,6271
2224,1088,2042
7119,7114,7069
6798,6663,6083
1742,1741,-1
6488,6266,6774
2686,2673,2437
21241,18265,15474
5817,5609,5650
21242,17516,16533
8354,7023,8073
2707,2693,1806
19588,17638,19557
12825,12815,11402
7852,5335,5345
22594,22584,22664
7685,6703,7690
22697,22482,-1
8308,4780,7358
23660,23652,12501
2660,2660,-1
22688,22688,20013
23869,23859,23876
17581,8526,15442
24445,24138,24288
3744,3740,1146
9367,7581,7185
21894,21288,21465
21243,21219,21259
23103,22455,19941
19969,19964,-1
22477,22445,22433
21830,21830,-1
27925,27925,7896
21964,17995,19940
7185,6729,7184
4110,4104,4156
23544,21321,23086
22075,22066,22096
11144,11135,10977
24262,23615,23125
20117,19596,17926
8842,3019,4536
21931,13841,20138
4708,4703,4725
24513,21640,22649
3959,1350,1460
37434,37434,17403
9885,7812,9702
21835,20695,21181
8682,585,7496
19096,18173,18640
2753,4431,2082
19428,17982,18765
22269,20975,21658
20609,20608,-1
3007,2969,2848
16690,15961,16321
21689,20975,21698
9854,9834,8110
,,
10361.17097,,
7564.5,,
