tti,fmp,speed-index,TTI Nexus 5X + LH
6632,4922,5648,8285
2361,2347,2013,4014
3478,3464,2990,5131
21879,21424,21211,23532
23654,23019,23610,25307
8267,982,1011,9920
18638,18621,17178,20291
12282,12282,9661,13935
12359,12333,12587,14012
10346,10327,10190,11999
21478,21477,-1,23131
23911,23792,22433,25564
14510,12918,9189,16163
22473,22473,22515,24126
22445,1747,19463,24098
20494,20469,19301,22147
13142,13013,11609,14795
24463,23748,24398,26116
6202,5151,5904,7855
16853,15394,13305,18506
18505,18505,13800,20158
9894,9880,9245,11547
18219,18211,13750,19872
8233,8197,8275,9886
19719,19719,16814,21372
12875,12866,12548,14528
5776,5014,5201,7429
11116,6326,8146,12769
17317,15955,16924,18970
22219,5668,9237,23872
6847,3922,4953,8500
21678,21678,21687,23331
17652,14607,15946,19305
12408,11187,11838,14061
2609,2160,2517,4262
8308,4795,5635,9961
14983,14439,15697,16636
20460,20460,14851,22113
21051,8638,13081,22704
5464,5450,5472,7117
11323,1715,5149,12976
8368,6111,6623,10021
20939,20878,21008,22592
2937,2832,3029,4590
12556,9421,10223,14209
20304,19556,20225,21957
6509,6509,6504,8162
23874,21819,23363,25527
17180,10630,13393,18833
14273,14265,14216,15926
4685,1777,3813,6338
8571,4712,8578,10224
3064,3064,3059,4717
15226,13346,14986,16879
13421,13388,13416,15074
16832,9520,14998,18485
1871,1871,-1,3524
13315,9718,13920,14968
8643,8633,8670,10296
5631,1835,4996,7284
23134,20874,21606,24787
11631,11514,11633,13284
2921,2908,2928,4574
7517,7321,6779,9170
1872,1871,-1,3525
19979,18218,18811,21632
3868,3801,3267,5521
15415,15415,14862,17068
24482,24457,23576,26135
7550,6079,7559,9203
2281,2281,1715,3934
23462,21499,23432,25115
5281,1140,1429,6934
12142,11182,12152,13795
23878,17630,20339,25531
7794,7794,5931,9447
5683,4506,2890,7336
11140,7213,9526,12793
20789,20785,20813,22442
2669,2669,-1,4322
23932,23932,21330,25585
11277,11267,11285,12930
16457,16426,-1,18110
8071,8071,6039,9724
19579,18284,17358,21232
22950,22341,22457,24603
24112,24061,24118,25765
23857,23837,18559,25510
21632,21632,-1,23285
972,972,-1,2625
8244,8212,8198,9897
22800,22121,22663,24453
32619,32619,12593,34272
23979,19863,21179,25632
21168,19433,21173,22821
20580,20565,-1,22233
23694,21314,23043,25347
21225,21218,21258,22878
4977,4968,4491,6630
18004,16889,17092,19657
22566,22566,22652,24219
21527,16893,18168,23180
19241,13720,17959,20894
6281,6276,6296,7934
9358,1013,1063,11011
43323,43323,23206,44976
23081,22148,22553,24734
13947,12794,13319,15600
8682,585,7496,10335
17230,14802,15357,18883
23955,23902,22705,25608
5690,5135,5480,7343
2607,1723,1880,4260
23694,23694,24628,25347
5334,4355,4749,6987
20052,20051,-1,21705
20858,20849,20926,22511
14584,14524,14586,16237
5226,5210,5106,6879
12382,11357,11893,14035
23105,23085,23141,24758
10862,10144,10868,12515
21800,21793,20037,23453
9582,9572,9589,11235
,,,
14510.53226,,,
14391.5,,,
