bundler,code-splitting,tti,fmp,speed-index
Webpack 2,FALSE,5797,3787,4819
Webpack 1,TRUE,2722,2707,2372
Browserify,TRUE,2544,2530,2137
Webpack 1,TRUE,2292,2107,2131
Webpack 1,FALSE,7436,7432,5025
Webpack 1,FALSE,14879,14194,14780
Webpack 1,TRUE,23288,9188,10719
Webpack 1,TRUE,2538,2530,2026
Webpack 1,FALSE,3178,2318,2475
Webpack 1,FALSE,3100,1770,2606
Webpack 2,FALSE,4012,4012,1771
Webpack 1,FALSE,2951,2927,3145
Webpack 2,TRUE,5130,5113,4968
Webpack 1,FALSE,14707,6930,14063
Webpack 1,TRUE,9959,9952,7248
Webpack 1,FALSE,4579,3807,2710
Webpack 1,FALSE,7770,7754,4947
Webpack 1,FALSE,7478,4582,4580
Webpack 2,TRUE,3523,659,687
Webpack 1,TRUE,3696,3677,2360
Webpack 1,TRUE,9676,4942,5444
Webpack 1,FALSE,1531,1521,1526
Webpack 1,TRUE,5914,4353,5596
Webpack 2,FALSE,13665,12546,9402
Webpack 1,TRUE,17920,17920,12726
Webpack 1,FALSE,5798,5783,5173
Browserify,TRUE,10346,10336,2361
Sprockets,TRUE,4928,4916,4973
Webpack 1,FALSE,10123,8317,7823
Webpack 2,TRUE,5348,5321,3240
Webpack 2,TRUE,2945,2935,2789
Webpack 1,TRUE,2560,2074,2263
Webpack 2,TRUE,7315,2272,4026
Webpack 2,TRUE,6552,5998,6355
jspm,FALSE,2080,2079,1511
Webpack 2,FALSE,4070,1764,2482
Webpack 2,TRUE,7596,5199,6688
Webpack 1,TRUE,3773,1405,2246
Webpack 1,TRUE,8296,7132,7802
custom python-based bundler,FALSE,2805,2652,2865
Webpack 1,TRUE,8744,3643,4490
Webpack 2,TRUE,8060,8034,8310
Webpack 1,FALSE,1668,1655,1684
Webpack 2,TRUE,18670,6586,10820
Webpack 2,TRUE,20143,12307,7385
Browserify,TRUE,8472,1873,3696
Webpack 1,FALSE,10505,10487,8923
Webpack 1,FALSE,11462,10505,11038
Webpack 1,FALSE,12065,11040,11438
Webpack 2,TRUE,6669,4442,4915
Webpack 1,TRUE,16014,15075,16118
Webpack 1,FALSE,2961,2961,2956
Webpack 1,FALSE,10492,9586,10229
Webpack 1,FALSE,19569,15039,17738
SystemJS,FALSE,15632,15622,15190
Webpack 1,TRUE,6679,1188,3701
Browserify,TRUE,13948,10615,13954
Browserify,TRUE,14668,13809,14726
Webpack 1,TRUE,15858,14654,15513
Webpack 1,TRUE,5942,5666,5728
Webpack 1,TRUE,14230,5538,11410
Brunch,TRUE,1713,1713,-1
Webpack 1,TRUE,23324,15362,22030
Webpack 1,FALSE,7947,7473,7968
Webpack 1,FALSE,11570,11529,11600
Webpack 2,FALSE,8876,3987,8200
Webpack 1,FALSE,15424,11163,13074
Webpack 2,FALSE,8870,8862,8820
Browserify,FALSE,12622,11823,11661
Webpack 1,FALSE,10378,10377,-1
Webpack 1,TRUE,20504,9871,13325
Webpack 1,TRUE,3826,3778,3481
Webpack 1,TRUE,23353,23251,23371
Webpack 2,FALSE,470,332,479
Webpack 1,FALSE,9685,9673,8625
Browserify,TRUE,6261,6261,4558
Webpack 2,FALSE,4264,3006,4062
Webpack 1,TRUE,1972,1972,1344
Webpack 1,TRUE,10695,9528,10437
Webpack 1,TRUE,24304,21840,21729
Webpack 2,FALSE,5076,2374,2867
Webpack 1,FALSE,15877,13862,15554
Webpack 1,TRUE,6153,2757,4629
Webpack 2,TRUE,10175,5140,6835
Webpack 1,TRUE,16418,16412,14565
Webpack 1,FALSE,22301,22190,-1
Webpack 1,TRUE,6159,5209,3443
Webpack 1,FALSE,15023,10864,13687
Webpack 1,FALSE,14571,11877,11677
Webpack 1,FALSE,4418,3208,4223
Jspm,FALSE,20940,20936,20973
Webpack 1,FALSE,1031,1031,-1
Webpack 2,FALSE,14561,14561,12026
Browserify,TRUE,12254,12244,12261
Webpack 1,TRUE,5100,5079,-1
Webpack 1,FALSE,23769,22837,23267
Webpack 1,FALSE,5929,5924,4047
Webpack 1,FALSE,23904,23408,22739
Webpack 1,FALSE,10886,10814,11198
Webpack 1,TRUE,14509,14509,8355
Browserify,TRUE,8997,8977,5666
Browserify,TRUE,17350,14708,17334
RollUp,TRUE,1359,1359,-1
Webpack 1,FALSE,12586,12555,12544
Webpack 2,FALSE,22504,21137,22155
Webpack 2,TRUE,15573,15573,5526
Webpack 1,FALSE,21983,15389,18749
Webpack 1,FALSE,22531,12447,21109
Webpack 1,TRUE,19921,19914,17927
Webpack 2,TRUE,10785,10779,10832
Browserify,TRUE,22548,22533,-1
Webpack 1,TRUE,7877,5635,7864
Webpack 1,FALSE,20556,20555,-1
Webpack 1,FALSE,4741,4731,4280
Webpack 1,TRUE,15347,13988,14113
Webpack 1,TRUE,11775,11771,10634
Webpack 1,TRUE,9361,3871,6141
Webpack 1,TRUE,9893,5864,8848
Webpack 2,TRUE,11710,10899,11719
Webpack 1,FALSE,9641,7568,8208
Webpack 1,FALSE,3799,1284,1304
Webpack 1,FALSE,21059,20980,20950
Webpack 1,FALSE,13660,13262,13639
Rollup and browserify,TRUE,22581,20605,21622
Webpack 1,TRUE,9222,8086,8577
Browserify,TRUE,21396,21346,21404
Webpack 2,TRUE,17152,12372,15737
Browserify,TRUE,13979,13715,13817
Webpack 1,TRUE,12927,12914,11732
Webpack 1,FALSE,18048,13605,15802
Webpack 1,TRUE,11146,10595,10906
Webpack 1,TRUE,2934,1908,2275
Webpack 1,TRUE,23905,23897,23386
Webpack 1,TRUE,6548,6308,6390
Webpack 1,TRUE,21825,21824,-1
Browserify,TRUE,16506,16497,16716
Browserify,TRUE,8245,8183,8166
meteorjs,TRUE,14762,14735,14071
Browserify,FALSE,23561,22538,23251
Webpack 1,FALSE,8907,8802,9523
Webpack 1,TRUE,18292,17962,18300
Webpack 1,TRUE,14611,14467,12770
Webpack 1,TRUE,4484,4474,3419
Webpack 2,TRUE,3877,3524,3244
Webpack 1,TRUE,4833,4550,4434
Webpack 1,TRUE,2363,2347,2613
Webpack 1,TRUE,7611,5947,7389
Webpack 1,FALSE,2633,2237,2668
Webpack 1,TRUE,8977,8103,6687
Browserify,TRUE,5048,5036,3402
Webpack 1,TRUE,5659,3082,4268
,,,,
,AVERAGE,10662.0596,9074.443709,
,MEDIAN,9641,8034,
