Timestamp,URL,Which module bundler did you use?,Check any of the below you used in your app,Would you say your app was optimized for mobile? 📱,
10/19/2016 12:09:02,https://kupibilet.ru,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2",No,
10/19/2016 12:09:43,http://antonioyee.mx/quiniela-app/pronosticos/a8f2113e0c0c17ccae3129ca742752f939c8fd91,Webpack 1,HTTP/2,Yes,
10/19/2016 12:10:12,https://eurogoals.net,Browserify,HTTP/2,Yes,
10/19/2016 12:10:22,https://next.tape.tv,Webpack 1,,Yes,
10/19/2016 12:10:54,https://fabric.io/dashboard,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:11:00,https://dashos.net,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:11:38,https://articles.m3medical.com/dist/bundle.js,Webpack 1,,Yes,
10/19/2016 12:11:43,https://webninja.work,Webpack 1,HTTP/2,No,
10/19/2016 12:11:56,https://picmonkey.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:12:26,https://www.redfin.com/,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:13:59,https://housing.com/in/?desktop=false,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 12:14:56,https://www.treebohotels.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2, PRPL, HTML Streaming",No,
10/19/2016 12:15:18,http://shortcut.thisamericanlife.org,Webpack 2,,Yes,
10/19/2016 12:15:20,http://hyundai-ioniq.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:15:34,https://beta.suomi.fi,Webpack 1,,No,
10/19/2016 12:15:38,https://m.skybet.com,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Web Worker",Yes,
10/19/2016 12:16:22,https://beta.dailyrepublic.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:17:07,hidden,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:17:54,https://letzchange.org,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:20:31,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:20:32,https://cars.blinker.com/,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:20:32,https://demo.primarysite.media,Webpack 1,Tree Shaking,Yes,
10/19/2016 12:20:34,,RollUp,"Tree Shaking, Service Workers, HTTP/2",Yes,
10/19/2016 12:20:39,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",No,
10/19/2016 12:20:57,,Webpack 2,,No,
10/19/2016 12:21:24,http://www.debijenkorf.nl,Webpack 1,,No,
10/19/2016 12:21:45,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:21:51,,Browserify,Service Workers,No,
10/19/2016 12:21:54,Private.tool,Browserify,Tree Shaking,Yes,
10/19/2016 12:22:21,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",No,
10/19/2016 12:22:36,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:22:46,http://tonetemple.com.au,Webpack 2,,Yes,
10/19/2016 12:23:23,,Webpack 1,,No,
10/19/2016 12:24:33,,Webpack 1,,No,
10/19/2016 12:24:56,,Webpack 1,,,
10/19/2016 12:25:07,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:26:34,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, HTTP/2 Server Push",No,
10/19/2016 12:26:37,,Webpack 2,"Tree Shaking, HTTP/2 Server Push",Yes,
10/19/2016 12:27:02,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:11,It’s an internal tool,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:37,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:27:58,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:28:00,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:28:15,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:28:55,,Webpack 2,,No,
10/19/2016 12:29:16,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:29:43,,require.js,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:30:41,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:31:08,http://bricolage.io,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:31:25,https://smartpanel.io,Webpack 1,,No,
10/19/2016 12:31:36,https://www.afferentsolutions.com,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:31:51,,RollUp,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 12:32:04,,Webpack 1,,Yes,
10/19/2016 12:32:14,,Webpack 1,,No,
10/19/2016 12:32:31,https://www.reindex.io,Webpack 1,,No,
10/19/2016 12:33:08,https://www.stickermule.com/cart,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), HTTP/2",No,
10/19/2016 12:33:09,http://parkary.com,Browserify,,No,
10/19/2016 12:33:39,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:33:57,http://academia.edu,Sprockets,,No,
10/19/2016 12:34:00,http://mozio.com,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:34:52,http://finanzcheck.de,Webpack 2,Tree Shaking,Yes,
10/19/2016 12:35:23,,Webpack 2,,Yes,
10/19/2016 12:35:27,https://beta.myminutesapp.com,Webpack 2,Service Workers,Yes,
10/19/2016 12:36:16,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:36:55,https://cdn.livechatinc.com/livechat4/open_chat.html?license=123,Webpack 1,,No,
10/19/2016 12:37:12,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:37:35,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",No,
10/19/2016 12:37:55,https://tray.io/,Webpack 2,Tree Shaking,No,
10/19/2016 12:37:57,http://dashboard.twitter.com,Webpack 2,,No,
10/19/2016 12:40:05,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking, Service Workers",Yes,
10/19/2016 12:40:50,https://www.nfl.com/now,jspm,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:42:23,http://www.creditkarma.com,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,"logged-in, mobile only"
10/19/2016 12:42:46,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:43:55,,Webpack 1,"Tree Shaking, Service Workers, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 12:44:28,,Webpack 2,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:44:29,,Browserify,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:46:24,http://bownty.dk,Webpack 2,"Tree Shaking, HTTP/2, HTTP/2 Server Push",Yes,
10/19/2016 12:46:38,https://discovery.addons.mozilla.org/en-US/firefox/discovery/pane/51.0a2/Darwin/normal,Webpack 1,HTTP/2,Yes,
10/19/2016 12:46:55,,Webpack 1,,No,
10/19/2016 12:46:59,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 12:47:48,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers, HTTP/2",Yes,
10/19/2016 12:48:50,http://www.todaytix.com/,Webpack 1,,No,
10/19/2016 12:49:13,,RollUp,"Service Workers, HTTP/2",Yes,
10/19/2016 12:49:15,https://khanacademy.org,custom python-based bundler,"Code-splitting (splitting your bundle into smaller chunks), Tree Shaking",Yes,
10/19/2016 12:49:23,,Webpack 2,Tree Shaking,No,
10/19/2016 12:49:28,,Browserify,,No,
10/19/2016 12:50:04,,Browserify,Tree Shaking,No,
10/19/2016 12:50:17,,Webpack 1,Not code splitting but do use common chunks plugin,No,
10/19/2016 12:51:41,,Webpack 1,,No,
10/19/2016 12:52:33,,Webpack 1,,No,
10/19/2016 12:55:51,,Webpack 1,,Yes,
10/19/2016 12:56:32,http://www.runsknr.fr ,Webpack 1,,Yes,
10/19/2016 12:57:47,,Webpack 1,"Code-splitting (splitting your bundle into smaller chunks), Service Workers",Yes,
10/19/2016 12:58:10,,RollUp,Tree Shaking,Yes,
10/19/2016 12:58:14,,Webpack 1,Code-splitting (splitting your bundle into smaller chunks),No,
10/19/2016 12:58:52,http://zigma.pmmi.org/brand/aw,Webpack 1,,No,
10/19/2016 12:59:30,,Browserify,,Yes,
10/19/2016 13:00:00,,Webpack 2,Code-splitting (splitting your bundle into smaller chunks),Yes,
10/19/2016 13:00:24,,RollUp,Tree Shaking,Yes,
